date,Appliances,lights,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,T_int_avg,RH_int_avg
2016-01-11 19:20:00,100,10,6.0,734.7333333,90.0,6.0,40.0,4.43,18.92571428571429,49.73952380857144
2016-01-11 19:30:00,100,10,6.0,734.85,89.5,6.0,40.0,4.35,18.98428571428571,49.68226190571429
2016-01-11 19:40:00,90,10,6.0,734.9666667,89.0,6.0,40.0,4.27,19.025714287142858,49.56571428571429
2016-01-11 20:20:00,120,20,6.0,735.2666667,87.66666667,6.0,40.0,4.03,19.261190477142858,51.85238095142858
2016-01-11 21:10:00,110,20,5.93,735.4666667,87.16666667,6.0,40.0,3.87,19.527619048571427,51.46761904714285
2016-01-11 21:30:00,100,20,5.8,735.6,87.5,6.0,40.0,3.8,19.64190476285714,48.60476190428572
2016-01-11 21:40:00,100,20,5.73,735.6666667,87.66666667,6.0,40.0,3.77,19.670476191428573,48.137619047142856
2016-01-11 21:50:00,100,20,5.67,735.7333333,87.83333333,6.0,40.0,3.73,19.733571428571427,47.77380952428571
2016-01-11 22:00:00,110,20,5.6,735.8,88.0,6.0,40.0,3.7,19.77,47.39285714142857
2016-01-11 22:10:00,400,20,5.65,735.8833333,87.83333333,6.166666667,40.0,3.72,19.79,47.01523809428571
2016-01-11 22:20:00,400,20,5.7,735.9666667,87.66666667,6.333333333,40.0,3.73,19.852380952857143,46.83
2016-01-11 22:40:00,240,20,5.8,736.1333333,87.33333333,6.666666667,40.0,3.77,20.003809524285717,46.387619047142856
2016-01-11 22:50:00,60,20,5.85,736.2166667,87.16666667,6.833333333,40.0,3.78,20.044166667142857,46.27095238142858
2016-01-11 23:00:00,60,20,5.9,736.3,87.0,7.0,40.0,3.8,20.07583333428571,46.18309523857143
2016-01-11 23:10:00,60,20,5.8,736.4,87.83333333,6.833333333,37.0,3.85,20.057619047142857,46.261904761428575
2016-01-11 23:20:00,50,10,5.7,736.5,88.66666667,6.666666667,34.0,3.9,20.033333332857143,46.33190476
2016-01-11 23:30:00,70,20,5.6,736.6,89.5,6.5,31.0,3.95,19.99452381,46.43916666571429
2016-01-11 23:40:00,60,20,5.5,736.7,90.33333333,6.333333333,28.0,4.0,19.97,46.50976190428572
2016-01-11 23:50:00,40,20,5.4,736.8,91.16666667,6.166666667,25.0,4.05,19.914285714285715,46.56047619
2016-01-12 00:00:00,40,10,5.3,736.9,92.0,6.0,22.0,4.1,19.90047619,46.61857142714285
2016-01-12 00:10:00,30,20,5.27,737.0,92.0,6.0,25.0,4.07,19.874285714285715,46.75476190428572
2016-01-12 00:20:00,40,20,5.23,737.1,92.0,6.0,28.0,4.03,19.84857142857143,46.84666666571429
2016-01-12 00:30:00,50,20,5.2,737.2,92.0,6.0,31.0,4.0,19.829523810000005,47.00523809428572
2016-01-12 00:40:00,310,10,5.17,737.3,92.0,6.0,34.0,3.97,19.80095238142857,47.06047619
2016-01-12 00:50:00,380,20,5.13,737.4,92.0,6.0,37.0,3.93,19.77714285857143,47.12761904857143
2016-01-12 01:00:00,380,20,5.1,737.5,92.0,6.0,40.0,3.9,19.792619047142857,47.19678571428572
2016-01-12 01:10:00,370,20,5.12,737.6333333,92.0,5.833333333,40.0,3.92,19.83333333285714,47.25809523857144
2016-01-12 01:20:00,120,10,5.13,737.7666667,92.0,5.666666667,40.0,3.93,19.87238095285714,47.35714285714285
2016-01-12 01:30:00,50,0,5.15,737.9,92.0,5.5,40.0,3.95,19.907619048571423,47.39571428571429
2016-01-12 01:40:00,40,0,5.17,738.0333333,92.0,5.333333333,40.0,3.97,19.869047618571425,47.36571428714285
2016-01-12 01:50:00,50,0,5.18,738.1666667,92.0,5.166666667,40.0,3.98,19.84666666714286,47.50571428571429
2016-01-12 02:00:00,40,0,5.2,738.3,92.0,5.0,40.0,4.0,19.79892857142857,47.57071428571429
2016-01-12 02:10:00,50,0,5.13,738.4,92.0,4.833333333,40.0,3.93,19.750238095714284,47.60309523857143
2016-01-12 02:20:00,50,0,5.07,738.5,92.0,4.666666667,40.0,3.87,19.72047619,47.60095238142857
2016-01-12 02:30:00,50,0,5.0,738.6,92.0,4.5,40.0,3.8,19.692380952857143,47.58333333285714
2016-01-12 02:40:00,40,0,4.93,738.7,92.0,4.333333333,40.0,3.73,19.65809523857143,47.591904761428566
