date,Appliances,lights,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,T_avg,T_range,RH_avg,RH_range
2016-01-11 17:00:00,60,30,6.6,733.5,92.0,7.0,63.0,5.3,17.167407407444443,12.863333333,50.910740742222224,42.63
2016-01-11 17:10:00,60,30,6.48,733.6,92.0,6.666666667,59.16666667,5.2,17.149629630333333,13.056666667000002,50.82722222111111,42.503333330000004
2016-01-11 17:20:00,50,30,6.37,733.7,92.0,6.333333333,55.33333333,5.1,17.10370370444444,13.330000000000002,50.628888888888895,41.72333334
2016-01-11 17:30:00,50,40,6.25,733.8,92.0,6.0,51.5,5.0,17.067037037,13.456666667,50.574814814444444,42.133333330000006
2016-01-11 17:40:00,60,40,6.13,733.9,92.0,5.666666667,47.66666667,4.9,17.07074074077778,13.523333333,50.73296296222222,43.66333333000001
2016-01-11 17:50:00,50,40,6.02,734.0,92.0,5.333333333,43.83333333,4.8,17.04851851777778,13.59,50.79185185222222,44.50666667000001
2016-01-11 18:00:00,60,50,5.9,734.1,92.0,5.0,40.0,4.7,17.040740740333334,13.626666667,50.788148148888894,44.89
2016-01-11 18:10:00,60,50,5.92,734.1666667,91.83333333,5.166666667,40.0,4.68,17.018518518888886,13.666666669999998,50.802962962222225,45.22333333
2016-01-11 18:20:00,60,40,5.93,734.2333333,91.66666667,5.333333333,40.0,4.67,17.018518519222223,13.666666667,50.901944444444446,45.82666667
2016-01-11 18:30:00,70,40,5.95,734.3,91.5,5.5,40.0,4.65,17.03962963,13.666666669999998,51.05074074111112,46.126666670000006
2016-01-11 18:40:00,230,70,5.97,734.3666667,91.33333333,5.666666667,40.0,4.63,17.066759259999998,13.736666669999998,51.22861111111112,45.14916667
2016-01-11 18:50:00,580,60,5.98,734.4333333,91.16666667,5.833333333,40.0,4.62,17.110370371444446,13.943333337,51.47037037000001,43.73
2016-01-11 19:00:00,430,50,6.0,734.5,91.0,6.0,40.0,4.6,17.18518518477778,14.009999997,51.85407407333334,44.190000000000005
2016-01-11 19:10:00,250,40,6.0,734.6166667,90.5,6.0,40.0,4.52,17.21490740666666,14.192500000000003,52.675,43.115
2016-01-11 19:20:00,100,10,6.0,734.7333333,90.0,6.0,40.0,4.43,17.252222222222226,14.52666667,53.519814814444445,42.81166667000001
2016-01-11 19:30:00,100,10,6.0,734.85,89.5,6.0,40.0,4.35,17.286666666666665,14.76666667,53.49657407555556,43.44
2016-01-11 19:40:00,90,10,6.0,734.9666667,89.0,6.0,40.0,4.27,17.310740741888893,15.003333333,53.378888888888895,43.89333333
2016-01-11 19:50:00,70,30,6.0,735.0833333,88.5,6.0,40.0,4.18,17.313333334111114,15.330000002999999,53.378240741111114,43.57333333
2016-01-11 20:00:00,80,30,6.0,735.2,88.0,6.0,40.0,4.1,17.31962962922222,15.556666667000002,52.96962962888889,43.60000000000001
2016-01-11 20:10:00,140,40,6.0,735.2333333,87.83333333,6.0,40.0,4.07,17.37481481477778,15.556666667000002,54.36703703666666,44.769999999999996
2016-01-11 20:20:00,120,20,6.0,735.2666667,87.66666667,6.0,40.0,4.03,17.465000000777778,15.423333333,55.06925925888889,45.19666667
2016-01-11 20:30:00,190,40,6.0,735.3,87.5,6.0,40.0,4.0,17.45888888888889,15.463333330000001,54.89518518666668,44.89000000000001
2016-01-11 20:40:00,110,40,6.0,735.3333333,87.33333333,6.0,40.0,3.97,17.497777776666666,15.473333330000003,54.77296296222223,42.93000000000001
2016-01-11 20:50:00,110,40,6.0,735.3666667,87.16666667,6.0,40.0,3.93,17.548888889222226,15.476666667000002,54.44518518444444,42.69666667
2016-01-11 21:00:00,110,30,6.0,735.4,87.0,6.0,40.0,3.9,17.61222222255556,15.369999996999999,54.684074073333335,42.603333330000005
2016-01-11 21:10:00,110,20,5.93,735.4666667,87.16666667,6.0,40.0,3.87,17.69333333411111,15.543333333,54.529259258888885,42.190000000000005
2016-01-11 21:20:00,100,30,5.87,735.5333333,87.33333333,6.0,40.0,3.83,17.71148148111111,15.759999999999998,53.28592592555556,41.940000000000005
2016-01-11 21:30:00,100,20,5.8,735.6,87.5,6.0,40.0,3.8,17.75740740811111,15.923333336999999,52.37222222222223,42.536666669999995
2016-01-11 21:40:00,100,20,5.73,735.6666667,87.66666667,6.0,40.0,3.77,17.78703703777778,15.89,52.029259258888885,42.89999999999999
2016-01-11 21:50:00,100,20,5.67,735.7333333,87.83333333,6.0,40.0,3.73,17.846111111111114,15.91,51.73148148222222,42.896666669999995
2016-01-11 22:00:00,110,20,5.6,735.8,88.0,6.0,40.0,3.7,17.867037036666666,15.91,51.407222221111105,42.925000000000004
2016-01-11 22:10:00,400,20,5.65,735.8833333,87.83333333,6.166666667,40.0,3.72,17.889999999666667,15.876666663000002,51.09592592555556,43.00333334
2016-01-11 22:20:00,400,20,5.7,735.9666667,87.66666667,6.333333333,40.0,3.73,17.965555555888884,15.766666667000003,50.90740740777777,42.736666670000005
2016-01-11 22:30:00,390,30,5.75,736.05,87.5,6.5,40.0,3.75,18.032037036666665,15.700000000000001,50.61462962888888,42.27333333000001
2016-01-11 22:40:00,240,20,5.8,736.1333333,87.33333333,6.666666667,40.0,3.77,18.094444444444445,15.600000000000001,50.363703703333336,41.50000000000001
2016-01-11 22:50:00,60,20,5.85,736.2166667,87.16666667,6.833333333,40.0,3.78,18.133240741111113,15.600000000000001,50.27296296333334,41.43333333
2016-01-11 23:00:00,60,20,5.9,736.3,87.0,7.0,40.0,3.8,18.154166667444443,15.633333333000001,50.28574074111111,42.03000000000001
2016-01-11 23:10:00,60,20,5.8,736.4,87.83333333,6.833333333,37.0,3.85,18.132592592222224,15.700000000000001,50.49962963000001,42.566666670000004
2016-01-11 23:20:00,50,10,5.7,736.5,88.66666667,6.666666667,34.0,3.9,18.098518518111106,15.836666667000001,50.64925925777778,43.096666670000005
2016-01-11 23:30:00,70,20,5.6,736.6,89.5,6.5,31.0,3.95,18.05277777811111,15.876666667,50.78898148,43.193333329999994
2016-01-11 23:40:00,60,20,5.5,736.7,90.33333333,6.333333333,28.0,4.0,18.029999999999998,15.91,50.958333333333336,44.029999999999994
2016-01-11 23:50:00,40,20,5.4,736.8,91.16666667,6.166666667,25.0,4.05,17.986666666666665,15.8,51.049629630000005,44.27
2016-01-12 00:00:00,40,10,5.3,736.9,92.0,6.0,22.0,4.1,17.975925925555558,15.8,51.184814813333325,44.87333333
